SiteName,HotspotID,CacheFile,TotalChecklists,TotalSpecies
Rural Retreat Lake,L718708,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/469_rural_retreat_lake_L718708.rds,532,201
Ruskin Freer Nature Preserve,L718709,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/470_ruskin_freer_nature_preserve_L718709.rds,36,91
S Fork Shenandoah River: Salem/White House Boat Landing,L718715,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/471_s_fork_shenandoah_river_salem_white_house_boat_landing_L718715.rds,268,134
"Saddle Overlook, Blue Ridge Parkway",L718716,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/472_saddle_overlook_blue_ridge_parkway_L718716.rds,314,127
Sailor's Creek Battlefield State Park,L718717,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/473_sailor_s_creek_battlefield_state_park_L718717.rds,115,113
Saltville Well Fields,L421209,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/474_saltville_well_fields_L421209.rds,1784,208
Sandy Bottom Nature Park,L718718,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/475_sandy_bottom_nature_park_L718718.rds,797,198
Sandy River Reservoir,L1041056,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/476_sandy_river_reservoir_L1041056.rds,2537,211
Saunders-Monticello Trail,L718608,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/477_saunders_monticello_trail_L718608.rds,329,123
Savage Neck Dunes Natural Area Preserve,L216894,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/478_savage_neck_dunes_natural_area_preserve_L216894.rds,473,220
Scenic Portion of Staunton River,L718723,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/479_scenic_portion_of_staunton_river_L718723.rds,26,73
Scheier Natural Area,L718724,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/480_scheier_natural_area_L718724.rds,97,107
"Scotchtown, Home of Patrick Henry",L718725,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/481_scotchtown_home_of_patrick_henry_L718725.rds,63,92
Scott's Run Nature Preserve,L718726,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/482_scott_s_run_nature_preserve_L718726.rds,365,152
Seaview Farm,L718727,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/483_seaview_farm_L718727.rds,149,180
Seven Sisters Trail,L718728,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/484_seven_sisters_trail_L718728.rds,27,49
Shenandoah County Park,L718729,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/485_shenandoah_county_park_L718729.rds,106,102
Shenandoah Mountain,L1537010,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/486_shenandoah_mountain_L1537010.rds,295,112
Sherando Lake,L718730,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/487_sherando_lake_L718730.rds,264,130
Sherwood Forest Plantation,L718731,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/488_sherwood_forest_plantation_L718731.rds,22,91
Shot Tower State Park (Access to New River Trail State Park),L159402,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/489_shot_tower_state_park_access_to_new_river_trail_state_park_L159402.rds,96,98
Silver Lake,L159403,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/490_silver_lake_L159403.rds,4461,192
Skull's Gap Overlook,L718732,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/491_skull_s_gap_overlook_L718732.rds,31,67
Sky Meadows State Park,L159404,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/492_sky_meadows_state_park_L159404.rds,1839,206
Slate Lick Fields,L718733,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/493_slate_lick_fields_L718733.rds,271,153
Sleepy Hole Park,L718734,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/494_sleepy_hole_park_L718734.rds,142,114
"Smart View Recreational Area, Blue Ridge Parkway",L718735,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/495_smart_view_recreational_area_blue_ridge_parkway_L718735.rds,442,138
Smith Bridge - Jackson River Float Trip,L718535,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/496_smith_bridge_jackson_river_float_trip_L718535.rds,12,68
Smith Mountain Lake Community Park,L718736,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/497_smith_mountain_lake_community_park_L718736.rds,423,132
Smith Mountain Lake State Park,L718737,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/498_smith_mountain_lake_state_park_L718737.rds,397,164
Smithfield Farm,L4748807,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/499_smithfield_farm_L4748807.rds,74,97
Snickers Gap Hawk Watch,L159406,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/500_snickers_gap_hawk_watch_L159406.rds,595,143
South Haven Beach,L718739,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/501_south_haven_beach_L718739.rds,132,145
"South River Falls Loop Trail, Shenandoah National Park",L159397,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/502_south_river_falls_loop_trail_shenandoah_national_park_L159397.rds,576,129
"Spotsylvania Court House Battlefield, Fredericksburg & Spotsylvania Nat'l Military Park",L909764,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/503_spotsylvania_court_house_battlefield_fredericksburg_spotsylvania_nat_l_military_park_L909764.rds,677,151
Spruce Creek Park (Rockfish Valley Trail System),L471032,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/504_spruce_creek_park_rockfish_valley_trail_system_L471032.rds,177,162
State Lands at Goshen,L718478,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/505_state_lands_at_goshen_L718478.rds,88,120
Staunton River Battlefield State Park,L718745,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/506_staunton_river_battlefield_state_park_L718745.rds,252,160
Staunton River State Park,L159407,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/507_staunton_river_state_park_L159407.rds,738,226
Steel Bridge Boat Landing,L718746,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/508_steel_bridge_boat_landing_L718746.rds,85,141
Stewarts Creek Wildlife Management Area,L718747,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/509_stewarts_creek_wildlife_management_area_L718747.rds,11,48
Stonehouse Lake Park,L718748,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/510_stonehouse_lake_park_L718748.rds,371,128
Stony Fork Creek Campground,L718424,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/511_stony_fork_creek_campground_L718424.rds,115,103
"Stony Man Trail, Shenandoah National Park",L159398,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/512_stony_man_trail_shenandoah_national_park_L159398.rds,274,112
Stratford Hall Historic Preserve,L421238,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/513_stratford_hall_historic_preserve_L421238.rds,174,160
Stumpy Lake Natural Area,L718750,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/514_stumpy_lake_natural_area_L718750.rds,5069,202
Sugar Hill Loop Trail,L718751,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/515_sugar_hill_loop_trail_L718751.rds,90,122
Sweet Road (FDR-350),L718753,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/516_sweet_road_fdr_350_L718753.rds,4,41
Sweet Run State Park,L718332,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/517_sweet_run_state_park_L718332.rds,1182,173
Switzer Lake Area,L718754,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/518_switzer_lake_area_L718754.rds,1066,180
Sycamore Bend Cabin and River Retreat,L718755,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/519_sycamore_bend_cabin_and_river_retreat_L718755.rds,33,73
T. M. Gathright Wildlife Management Area,L718756,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/520_t_m_gathright_wildlife_management_area_L718756.rds,28,93
Tangier Island and Onancock Wharf,L718758,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/521_tangier_island_and_onancock_wharf_L718758.rds,159,150
"The Cove, Tazewell County",L718761,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/522_the_cove_tazewell_county_L718761.rds,177,152
The Cultural Arts Center at Glen Allen/Walkerton,L718800,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/523_the_cultural_arts_center_at_glen_allen_walkerton_L718800.rds,29,51
The Falls,L718762,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/524_the_falls_L718762.rds,78,100
The Mariners' Museum Park,L523043,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/525_the_mariners_museum_park_L523043.rds,1433,192
The Nature Conservancy's Vandell Preserve at Cumberland Marsh,L283670,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/526_the_nature_conservancy_s_vandell_preserve_at_cumberland_marsh_L283670.rds,817,192
The Nature Foundation at Wintergreen,L633505,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/527_the_nature_foundation_at_wintergreen_L633505.rds,82,94
The Reynolds Homestead,L718764,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/528_the_reynolds_homestead_L718764.rds,45,91
The Rivanna Trail - Quarry Park,L1898260,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/529_the_rivanna_trail_quarry_park_L1898260.rds,60,105
The Rivanna Trail - Riverview Park,L718767,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/530_the_rivanna_trail_riverview_park_L718767.rds,2050,175
"The Wetlands, James River Park System",L525710,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/531_the_wetlands_james_river_park_system_L525710.rds,3826,205
Theodore Roosevelt Island,L718768,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/532_theodore_roosevelt_island_L718768.rds,0,0
Thrasher Lake Park,L718770,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/533_thrasher_lake_park_L718770.rds,692,163
Thrasher Park,L718769,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/534_thrasher_park_L718769.rds,44,74
Three Lakes Park and Nature Center,L634305,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/535_three_lakes_park_and_nature_center_L634305.rds,940,144
Tinker Creek Greenway,L718771,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/536_tinker_creek_greenway_L718771.rds,160,141
Tobacco Heritage Trail - Boydton,L7162045,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/537_tobacco_heritage_trail_boydton_L7162045.rds,75,112
Tobacco Heritage Trail - Victoria Railroad Park,L718785,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/538_tobacco_heritage_trail_victoria_railroad_park_L718785.rds,55,78
Tobacco Heritage Trail: La Crosse to Brodnax,L20028084,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/539_tobacco_heritage_trail_la_crosse_to_brodnax_L20028084.rds,12,57
Tobacco Heritage Trail: South Boston,L1581864,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/540_tobacco_heritage_trail_south_boston_L1581864.rds,272,144
Todd Lake Recreation Area,L718772,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/541_todd_lake_recreation_area_L718772.rds,91,115
Top Road/North Mountain,L718773,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/542_top_road_north_mountain_L718773.rds,20,59
Totier Creek Park,L718774,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/543_totier_creek_park_L718774.rds,384,160
Totuskey Creek Boat Ramp,L718775,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/544_totuskey_creek_boat_ramp_L718775.rds,53,75
Town of Occoquan,L718640,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/545_town_of_occoquan_L718640.rds,267,113
Trail of the Trees,L159414,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/546_trail_of_the_trees_L159414.rds,407,147
Tuckahoe Creek Park,L5284586,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/547_tuckahoe_creek_park_L5284586.rds,3600,181
Turkey Run Park,L718777,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/548_turkey_run_park_L718777.rds,293,143
Turkeycock Mountain Wildlife Management Area,L718778,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/549_turkeycock_mountain_wildlife_management_area_L718778.rds,26,85
Twin Lakes State Park,L718780,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/550_twin_lakes_state_park_L718780.rds,1762,150
U.S. Army Corps of Engineers - Tailrace Park - John H. Kerr Dam & Reservoir,L159333,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/551_u_s_army_corps_of_engineers_tailrace_park_john_h_kerr_dam_reservoir_L159333.rds,842,202
"U.S. Army Corps of Engineers, Merifield Wildlife Management Area",L718600,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/552_u_s_army_corps_of_engineers_merifield_wildlife_management_area_L718600.rds,21,51
"U.S. Army Corps of Engineers, Old Soudan Wildlife Management Area",L718711,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/553_u_s_army_corps_of_engineers_old_soudan_wildlife_management_area_L718711.rds,14,62
UVA Wise,L718782,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/554_uva_wise_L718782.rds,27,55
Uptown Connector Park and Trail,L718781,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/555_uptown_connector_park_and_trail_L718781.rds,8,41
Varina LandLab Conservation Area,L8260406,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/556_varina_landlab_conservation_area_L8260406.rds,368,148
Vawter Street Park / Glen Lea Recreation Area,L718783,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/557_vawter_street_park_glen_lea_recreation_area_L718783.rds,53,91
Veteran's Memorial Park,L718784,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/558_veteran_s_memorial_park_L718784.rds,39,71
Vint Hill Farms Park,L718786,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/559_vint_hill_farms_park_L718786.rds,72,94
Vir-Mar Beach,L718787,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/560_vir_mar_beach_L718787.rds,49,98
Virginia Aquarium & Marine Science Center,L718788,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/561_virginia_aquarium_marine_science_center_L718788.rds,277,132
Virginia Creeper Trail - Abingdon,L421205,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/562_virginia_creeper_trail_abingdon_L421205.rds,154,123
Virginia Creeper Trail - Damascus,L718789,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/563_virginia_creeper_trail_damascus_L718789.rds,98,119
Virginia Creeper Trail - Watauga,L718790,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/564_virginia_creeper_trail_watauga_L718790.rds,44,101
Virginia Living Museum,L718792,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/565_virginia_living_museum_L718792.rds,113,95
Virginia Tech Campus and Historic Smithfield,L659528,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/566_virginia_tech_campus_and_historic_smithfield_L659528.rds,4352,194
Virginia's Explore Park,L718796,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/567_virginia_s_explore_park_L718796.rds,371,141
Voorhees Nature Preserve,L618753,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/568_voorhees_nature_preserve_L618753.rds,133,136
Wachapreague Interpreted Marsh View,L719116,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/569_wachapreague_interpreted_marsh_view_L719116.rds,199,135
Waid Recreation Area,L718797,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/570_waid_recreation_area_L718797.rds,308,123
Wakefield Park,L718798,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/571_wakefield_park_L718798.rds,264,144
Walkerton Landing,L718799,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/572_walkerton_landing_L718799.rds,192,129
Walnut Creek Park,L718801,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/573_walnut_creek_park_L718801.rds,443,144
Walrond Park,L248755,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/574_walrond_park_L248755.rds,606,161
"Walton Park, Town of Mineral",L718802,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/575_walton_park_town_of_mineral_L718802.rds,48,74
War Spur Trail,L718804,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/576_war_spur_trail_L718804.rds,100,93
Warbler Road,L2118736,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/577_warbler_road_L2118736.rds,418,141
Ware House Boat Landing,L631027,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/578_ware_house_boat_landing_L631027.rds,228,117
Warm Springs Mountain Preserve - Bear Loop Trail,L6102816,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/579_warm_springs_mountain_preserve_bear_loop_trail_L6102816.rds,25,72
Warm Springs Mountain Preserve - Ingalls Overlook Trail,L4510600,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/580_warm_springs_mountain_preserve_ingalls_overlook_trail_L4510600.rds,76,99
Wasena Park and the Roanoke River Greenway,L718688,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/581_wasena_park_and_the_roanoke_river_greenway_L718688.rds,154,114
Washington County Park - South Holston Lake,L1582789,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/582_washington_county_park_south_holston_lake_L1582789.rds,115,114
Washington's Ferry Farm,L451957,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/583_washington_s_ferry_farm_L451957.rds,147,130
Waterfence Landing,L718807,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/584_waterfence_landing_L718807.rds,44,100
Wayside Park,L718808,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/585_wayside_park_L718808.rds,140,108
Western Branch Reservoir,L718809,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/586_western_branch_reservoir_L718809.rds,57,92
Westmoreland State Park,L718813,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/587_westmoreland_state_park_L718813.rds,620,186
Weston Wildlife Management Area,L5176095,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/588_weston_wildlife_management_area_L5176095.rds,54,113
Wetlands Estonoa,L718555,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/589_wetlands_estonoa_L718555.rds,10,47
Whispering Pines Park,L718816,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/590_whispering_pines_park_L718816.rds,210,110
White Oak Mountain Wildlife Management Area,L279159,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/591_white_oak_mountain_wildlife_management_area_L279159.rds,227,142
Whitetop Laurel Fishing and Viewing Area,L718817,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/592_whitetop_laurel_fishing_and_viewing_area_L718817.rds,24,80
Whitetop Mountain,L159420,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/593_whitetop_mountain_L159420.rds,328,123
Whitney State Forest,L718818,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/594_whitney_state_forest_L718818.rds,298,139
Wilck's Lake,L718819,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/595_wilck_s_lake_L718819.rds,1596,188
Wilderness Road State Park,L718820,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/596_wilderness_road_state_park_L718820.rds,169,137
Wildwood Park,L718821,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/597_wildwood_park_L718821.rds,1236,143
Willis Wharf,L718822,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/598_willis_wharf_L718822.rds,1397,216
"Wilmont Boat Landing, King George County",L453503,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/599_wilmont_boat_landing_king_george_county_L453503.rds,88,145
Windsor Castle Park,L869541,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/600_windsor_castle_park_L869541.rds,768,186
Winter Harbor Landing,L718740,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/601_winter_harbor_landing_L718740.rds,49,95
Wise Reservoir,L718824,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/602_wise_reservoir_L718824.rds,27,61
Wolf Creek Greenway,L718825,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/603_wolf_creek_greenway_L718825.rds,48,80
Wolf Creek Picnic Area and Trail,L718826,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/604_wolf_creek_picnic_area_and_trail_L718826.rds,8,60
York River State Park,L718829,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/605_york_river_state_park_L718829.rds,2216,209
"Yorktown Battlefield, a unit of Colonial National Historical Park",L718830,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/606_yorktown_battlefield_a_unit_of_colonial_national_historical_park_L718830.rds,479,179
Zoar State Forest,L718831,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/607_zoar_state_forest_L718831.rds,75,118
